DW_CLIENTE;DW_TEMPO;DW_LOCALIDADE;vr_total_venda
9b3d0f89fddfb210cb48524f24d296475cbe617155a37eb2afa81b2acabe47e7;b153488da247cdaeae0170c6a1492e80ea9ab59f5e9c0c6b2d2f37830b6d6752;a8aeff0e36874a06b28923f9993db595671c6cf0e6ae9c6f07b2367cd46091c3;""
8bc6b0c63fd7023c4c3516d9a603977f8a4687c99880baf4378b460f501bafb9;01bf5dfa6633ac6553c271cd4e22d4acddf55d3695c42ba6c3637bb4f7915991;9f4d6b33f77d4d2d13f9b59b55a62749535cc1656d1bc99b655b259ebabc5418;""
88165e041e487e66000bb479943761a2e1a115f06c70d45f72071cf936fb98b1;629d6047f4f295fa8ea04e219f8da3d517c07375e5a07c2b7669db401edf039d;13d4709afccb547ee090ff44f6255937c5fd59f1e3ab3ce68bdcc5668f4c32c9;""
f888e97ae246d3932e8cebf100d136aaf5f8747fcff1abc478c3924ec1d3d805;628e7c98ce7e1c3291d3d103e6cbff9d9463275fe2f988f5bf35b388cf9d6be6;5f46f12c4860fc0e1699cc1b513cc90089776df20b43e81ab43d5117a9d7187e;""
485acaee5dda488e2acd1db31fad9b91b250e1a6aec0923e472a26817235cd47;89239528ca28df8b8ecdfee5f395c59f506e2378486de58955589af25b952a02;049cc9e1e3a1bc9c8bee2219d27510d1cb20f37a97c54430f250336c3def7ddc;1290.0
2e4e04c8edabb68ec5995a508f1ff0782f2ef4a74b177ec6545dc6906b20235c;ddc769ca008d514faffbb8d8090685b6f4bc1aafe3a602b1ccb62bbaf74d615a;97862bd3d7f925c36cbab62d594dc06ef2fd7b7d026e4fb9141819cc4f9bb653;""
7d2e2d54299bbfbc6bb91298614c2bef43a2f1aced96a1bad172dc42af0a7630;41e5f1889b172601a9b51901d451163804f6e5178fe30f514c1250a6c66d03a5;bb1ed76e547655ad3b0ee84fd144be42d64f3748db52b1f8a406b38e9bc183a2;2875.0
9cf689c4f52b11e2f0decc2fabd255bdd92e02040282cf6fb2947051aa750407;e7efb624c12d61f375d2564c68412206cc9515f1a5ceb4c794313c2c5b373235;1a6075ab809c332574e007eec06cbe95e9a81f89a99d91415f437eeffded187d;""
e25ea913acefb99dc211113de0a5c7cd9d9c679e33eabcbde13a7527bfe3cb41;cf9091ff24d812e750385192fa877514613b811cc1b095622162f4fe83077a38;fe0358c7c3bdba7e01858e5a5580acd90a7dd8531c1fec51c9cd993fa6728661;""
2630158a833cdcf6536bc40326e761388cc2ec3684002d482415a00f39c19356;3776975484d88d7104b84256325f8cfc0040573a00bcb7ae907ec8396ad9eab8;2a9d6a0e415e6c32a8d9b82fabea121f1532c4dc2e586043b0c35cbe5e77dbc8;1907.0
f211e75fd98c9452bf4097298df33c8666f853c26883e26feb90cced65f377d8;6480bd821567bb54f74e4bb5d43c94363e7e96013cbbdcb2b95a9a26e4dd48d0;b4e6f5b416d7281042ae4ce4d449d2800865da72f65d3b522457dad339911869;741.0
2455786ee828ce57e3a4d28610bbfe2ef62a047fd8b2a3f715b57072df8c84bb;047fbabd2af5b967c037269aff3a8d8e2164155bc2690243beda45056bc26526;ccc1359430635ea4f26b369bf8517c7c47782f779e0dce96317968b1baea92d9;""
3843364d08ed3dc584dcde0dae91d3dbf2cdbe581ce98ff932ce9a003da57524;6047dcde282e35ac9981726ae85cbbca1d08104546d9d6c9652afe1d94c699af;bad1fe9eac2ac306f42b5cce68b27d7adf92857caa250ac2aef1ac58c2ab511d;2980.0
da8a890a9962125a26a1076ca2239a5db30af2907f1e5b8925fe0ef3379d84e7;365de4fb441a442cdde635d0c4d4b28909522f9c6fa0b7c115ab474f0040e7bc;98bc064dad5ee33429e5fe4c32f7a085b53935cd34845a2a2865ba1c5ac44e23;4536.0
9cfafdab05b3d494f9f91c6f3bcdfd12c64bab684e50f51624ccd7139413cee2;ebd1cc51e49bc21f46b365200d34eb39af7c735b1fd3454717d5417a334368a1;5b892eb31c909440dddca94d3e01213b5c44a4dd1035f013cdceb47a11d75f18;""
fb22d8aca13d43f422cc3e080bc08a2b5bb23cb2f5c69a5d2c6220ec84c08080;272829ae924782d146bda4dd8dfe20f038474605aa7fd10a84ad0a03acec59bf;11cf479d853017aa1dd0df961d70c2688c46b3eb701b779d4774e46fe163dbce;""
b58c6988db78b1600d43e5a5fb6fba5b5e097c5932f486bdabe1eef634a5ca50;016859797bb6a11052084741b66b97cf2b5045e6d1610b4360797c7b15dd3952;4a39687b14ba3995df61ebc8ddbefdca1a88890f024d9e7f4ff15700de598247;""
3843364d08ed3dc584dcde0dae91d3dbf2cdbe581ce98ff932ce9a003da57524;10cac93e3100360b9b9c21ad0d4dd7b9ca95d836997bd973c26e80b1033b7776;bad1fe9eac2ac306f42b5cce68b27d7adf92857caa250ac2aef1ac58c2ab511d;""
3dee3bc66838e920f502bc17e471cf5b2b6c14f44153f8be2966c55e02bb9b30;4745e306a8d87d389c536b3fcf521916546c14a59a9d1a7a06d413145c0db0f3;bbc0103539bacdfd91bee40a8b15f3fc1c7fad69ae5332fdcb57a2e0a045f399;""
ef5aed86c4d1c2269b3ec1e50af5ddc6eefc2c153b7a716e56e25bce324a7fb3;fa211c91cce0eb31caa292f1e6d277a91f6e62ef59ea93e02558f11129cecfb1;7343c386439d138cf0ee52f86c6e2b89a8538b2ba3f60a4dacd9616cd69abaa9;""
061f596b79a5ba81684630332b4562eac9a4aeed1a661b03d330b141e5ab22ec;62cd6380e1192107bbf47f90e67213c00c05959f864dd1c1a3510e50adc164e5;857396a9d871dd60d1328c7068a2d87f9187a33d595738d6161de79cb1ff29a6;8099.0
c775e06fcd4bd0165216b101473db00963db6643c91c94fc43e92755560b7be3;0b2d476436a18d7ef3c7750df7e78b75b1c54f7debe9f1737b1d99ded3d5e609;e46a8395cdf5481e8dc289ac4c941b981720d76071d94bbd7e7b1fe790da82ea;""
0dbe2794331c081bbe330f4eedcc50e5bd171c65fd92154777f5f74b993dabe0;fb5a070fdce742507b11bd18bd93608b50ea33c69c4ba9a80f6c7267c5e75527;ae4b3c404f7cfb35a156debd1a6f29e868870cab152eb5b3dec97506008aa512;""
5fdaf6de6619420d203e4f9e469cea240e5cc3e5e806c06d115836681c763ccb;41e5f1889b172601a9b51901d451163804f6e5178fe30f514c1250a6c66d03a5;e95821f90486c9e02fedfd01a075db4a3b5dfe6c79f76927da46c5eb52aa5aaa;940.0
6ac641b70aea6163df2a03fc7262e244244b4b6d77c8ca11eb553eca4df6f045;5ed5ccc73eb913b899993c522397f17eda0f460278d2a64bbcc4304d049f366b;5c5aba2915ae530a91052dc0ffebc1fb461989fd6af5e536aec6bd8cc4cc432e;""
e4bfcf1119bb3008ff38f5545a289b9a77247cc3fa5f4e95bf9518154eb210e2;36fc65cc118dfb2814335c4ec9b348cd9fd891ec66172d6020cbf7ba1341d232;646bd04f0973bd611322ee5f0de352537d8dce358a2fc0b0e19437e3db0923cb;""
26920b6111e5d74b30b6f2fb21c9556cc697e6a6dc70b90d227ddaba23638632;73437cd49c1e66749afc9d4e22df7c23b07ddc227898f9b46d51e37adf89a92f;b39063df1a2c8805dd79a5bb73efc4ebe161ad65b597508d29cb986efac89c12;""
c4c33f573f3c342889909747cd27806a506c6db06c625c3f7f46ebbdc56d745d;9e108098ada896dee857e108b06da2946fa70fbf5f1d27ddd2eaa7b89a7b34c7;9ecfbeff850a5e0386b7bfdfab41c88d80985b55117e164b35719b62a1f6db11;0.0
3d1f6c799e00de9f533133a9b5946319985775ceb3013654275e9632299416cb;40bdf5f8d698a1b5329096950e19e139eea8007c6f36790cba7f44e524aa20d1;8a6e48014677cf965d37973e396a5cb47da53e8e2b4adf416a99ec3e2cfbf94e;602.0
f0b475417d44a269c91b38a7cf9a71ca3b1abc4016286d41012052a87b9871f9;016859797bb6a11052084741b66b97cf2b5045e6d1610b4360797c7b15dd3952;c669920356a7a790f53e23095679b72f510d317800a3b9d691ebd3ccc38104d6;1154.0
a657fe75028171e5cd3fedd6d91d16f16da60989fab8a70433cff53d29431d6e;976b982bf2226326caaed6d17ee34f9c9e922ec8be9e7be02cb777f94511b11b;5ac66d19aeafdc63f064e04d6098f3d4b0111b3efe8713533a224d626119487a;""
f818101735886787520265271014f84d23245ee5c9de434557176b30b7fb573f;d3fa7e9fb46f91e3850060dd5dc68fbb97de420523300e5307d089749e6dcad4;da8d8128053d6813f268b0323747a0d417dd4ad092cb180feabb96ac7f3cd253;""
cdba1b7378418e9330d4931a378258a429c8c4a756878b521819d7f262cecbda;4ec5601055ad4a0685e8b141a38a627946b7f5b8edbba2330420ada85b81bc91;c4efc25f446470a6f044ff1971974e13ee589716ec0f9732f3be78f171dcaa37;""
345d91c753030b2e2d0d5b01914f74e7c38e2e7f2ecd66923f94b4223681545f;dedd2a7af6fb922e3a636cd3835db6388c1a337ac80e46b0d65f24a9ff3c1949;403d40273ecee9ebc2ad41864522e820a8a33cfe01b817a3be3454358025b095;""
7d2e2d54299bbfbc6bb91298614c2bef43a2f1aced96a1bad172dc42af0a7630;b13401c0ba118cdef4121a6818f42463c9d47174a1297aa504ba97f8550b9515;bb1ed76e547655ad3b0ee84fd144be42d64f3748db52b1f8a406b38e9bc183a2;12751.0
a40aea4b5cadcdfecbdddf32e8e6540d2c2212198cb5e4439b12e5d0fe4fd971;2fd71c4d9060846797e79015c395818dd34af45d7586c0ac62424c149044ee70;981ad8233f2b1a211531bb411ce91d018a9d14789fe6a89fc5c971d691a69f53;""
ef2bfd6088305341d8785a90771cb775f460a2acd77d3ea07694e53b139ed840;e98bfdd0808f99dd52c085bd9f33666910c88141435db93802da6e8ba3367a66;f1c72708d1118664cfc11b86616e382f6d26d2d3e508b1368c2cbd9bbb8dfbdc;""
b42f17fefd02041c95a42dffe9c9407115d474d4396e0e93c890212bc6a405a4;72173ae36213b8f687cfb17e7ae501405cce2c63c06e2cc56730851a4e1c255c;b0f671119c57b69e13b67672e33495e15e38458d5628bcd7904b05dc64aa38bc;""
8ce5e354afdcc6c165756a88ab784ad0a3da070391571dc40c93fa111687e426;9fbde6734e5e22f255460d8e846f208e1ff5084314ed071df4ce79d0f5009343;e1d9b8155a7fdd7aef70a42cab5292a07d47f00acd8a1240a03aab4d1472295c;""
9cfafdab05b3d494f9f91c6f3bcdfd12c64bab684e50f51624ccd7139413cee2;ad9cac55265ce46d272a9bd835cc40c1acfce815cba8eb0ad980cc19370288ac;5b892eb31c909440dddca94d3e01213b5c44a4dd1035f013cdceb47a11d75f18;""
e25ea913acefb99dc211113de0a5c7cd9d9c679e33eabcbde13a7527bfe3cb41;fd13ccd2e956a3b503a939d8113ae2e7a0faf454eb8121f12ed5724aed8ace2b;fe0358c7c3bdba7e01858e5a5580acd90a7dd8531c1fec51c9cd993fa6728661;""
eafa6c48af110003bf7a3f369bee875b10bac7e7e72d55d2e129d718e6c61b4a;6124ecefb8d3f7cad55553eba18e83fd5cd1b52cef455927026deb54189cf67c;1280bcec3a3f0f090bbdde6e44d6c58fffa28cc4729fd20a6aedd60eb155e974;""
622f20121ab09754ac1eaf56489aec7a1ec7879fb954a0515640aa97ff14c650;b68f2a996dcc9e99aadf3d831697db68b07c16beeceeca471d261554efab5b65;4ac441e5ab0cabf9de7c70c741ef43663b5a20239ec8ce65e237a196cc4c0a5c;""
ad699442611ad3d8acdd9b182ee25ae49d7dfb8f981f51fcd2c86a4727a8cb91;8b2220e6fcd970a04efb96dc7b4e50c92a0fab213c5379b9dfed43c933202e4c;03816ecf48fb4f06e24dec01c35dfbe695e1e6b6faf26cc5f0bcb9dc34ba14c9;""
b42f17fefd02041c95a42dffe9c9407115d474d4396e0e93c890212bc6a405a4;694a441f979bbacb5a18d4d19a0dbdfda0721d7db399bfe85e8e4af154f45e8b;b0f671119c57b69e13b67672e33495e15e38458d5628bcd7904b05dc64aa38bc;596.0
6e92a5825c19aa5cf86782f7d233412a9cbc209eec93506ed8e1202aff9f3afc;b3ea6aac9c7261427b4aa4fe3a44d9f312d4dbae5ac29401ec40fcba42670eeb;5234dc8ca54fd8c1ba6a40566658ac509d99ba5c123f663a9b006137fb394a4f;""
4248fdef8e326bdb3097fe3ed2d2c03734becfd6666a3221c8bb3b8aeac3c176;d2cdfdf5b9175f08b4263fa2857f71baba6a1b18c8e1965569ffa4c17355943e;0f8f5a7b36a04b56599469656b985965bee987355d98e05a69fe0608868ddaa9;""
71915c2acf51001f0e57de1efc03f72cfaf548af9d6e1b7b8ddaf51c9e2b3ec8;c8641c8fbc8fac454cf0960ce82380119d07f2e832de76e4ed57e73c8a603de0;8dd2f7dc223639c5e3a541479f07e3d009080d634778fbbe75535cd01e2808f6;1299.0
061f596b79a5ba81684630332b4562eac9a4aeed1a661b03d330b141e5ab22ec;1c74eef40f21abc2b64d6103ba6689ccc659c56510f68d2e8da9c42136ca21f7;857396a9d871dd60d1328c7068a2d87f9187a33d595738d6161de79cb1ff29a6;1192.0
c775e06fcd4bd0165216b101473db00963db6643c91c94fc43e92755560b7be3;e7efb624c12d61f375d2564c68412206cc9515f1a5ceb4c794313c2c5b373235;e46a8395cdf5481e8dc289ac4c941b981720d76071d94bbd7e7b1fe790da82ea;""
1a04480bedfb8667ed7e24523945d5dc8fbd3721d0b63624a141a9fdd82564c3;7770405c756e5ac0afc0548edfa5eb97ef696b245cfc7b40a38872beeed5c99a;6700e2eee4cc439a1d62ea4bbad381b79aaa91b5280b0de1c4f073490a6fdda2;575.0
b58c6988db78b1600d43e5a5fb6fba5b5e097c5932f486bdabe1eef634a5ca50;09d2746498aa0aa5c6624d4e0d4f2a83ae85666bcc288d24152887e4f243ac16;4a39687b14ba3995df61ebc8ddbefdca1a88890f024d9e7f4ff15700de598247;""
1046417cb787756c1803b113580b70488649415e76d032ba0b52536f1c0197c4;d7f821f83ec100d69232834e77ee54b569a88c1bcc777f22bcac54d8e69d59b7;39e9b28514d8474d890e4167129212a38b9e9ca6d88983934d8fe70d7c2bd995;3103.0
72226743fea7d9a4712d7449b170bef356a198ef061e0aeaceb85df4c401f9b3;dd9c8d10ac88089b42527398495246a7326d7ededb05a759cfe3ce6bb0c8ed55;026c7b1f987f762c1336b2069b55a253d20af5270f0d9f405534c05efac58531;""
cc955280eb3f5e6fcb2156030001b93e80e3746a25685eda099028b59adf835a;724fc32756e4f3909b9cad58da445fc89eaede501f8c337207179fee5c1286af;28b5c1631ecc7943376d69183d6ac553a9b04d2f41b47054c61ccda435de1072;""
c775e06fcd4bd0165216b101473db00963db6643c91c94fc43e92755560b7be3;42ed5d5ff21261b32c9e909816b59de89094efac5b24d6be09e288679acb1e5e;e46a8395cdf5481e8dc289ac4c941b981720d76071d94bbd7e7b1fe790da82ea;""
96b72493b94691fd2370bf1cca6ba8b2bad3f07369a49297c7bb9078128cec55;031c6c4241377d73c43b8bba20680e65a36b7f19d59939d8d964bbaa5742ca2f;5ac66d19aeafdc63f064e04d6098f3d4b0111b3efe8713533a224d626119487a;""
